Election Year,Electorate,ACT New Zealand Vote,Green Party Vote,Labour Party Vote,National Party Vote,New Zealand First Party Vote,Others Vote
2017,auckland central,1.06,13.9,37.79,39.23,3.88,4.14
2017,botany,0.6,2.39,29.27,61.02,4.59,2.14
2017,east coast bays,0.99,4.74,23.23,62.88,5.39,2.7600000000000002
2017,epsom,1.78,8.36,24.54,58.63,3.15,3.5500000000000003
2017,helensville,0.81,7.57,25.5,55.92,7.12,3.0799999999999996
2017,hunua,0.72,2.99,22.27,62.95,8.57,2.5
2017,kelston,0.35,6.72,50.37,32.95,6.58,3.02
2017,mangere,0.12,2.71,71.04,17.34,5.16,3.63
2017,manukau east,0.26,2.23,65.68,22.95,5.74,3.15
2017,manurewa,0.27,2.48,58.85,28.76,6.63,3.0100000000000002
2017,maungakiekie,0.64,5.89,43.61,40.96,5.11,3.7900000000000005
2017,mt albert,0.59,14.65,43.36,33.96,3.44,4.0
2017,mt roskill,0.58,6.22,42.69,43.01,4.43,3.07
2017,new lynn,0.43,6.19,42.68,41.79,6.1,2.81
2017,north shore,0.93,6.63,26.08,57.83,5.27,3.28
2017,northcote,0.71,6.76,34.23,48.77,6.02,3.52
2017,pakuranga,0.76,3.74,24.78,61.86,6.62,2.26
2017,papakura,0.57,2.83,33.53,51.27,8.79,3.0
2017,rodney,0.86,4.6,23.35,59.65,8.73,2.82
2017,tamaki,1.37,5.65,24.46,61.66,3.91,2.97
2017,te atatu,0.49,4.9,43.98,41.43,6.44,2.76
2017,upper harbour,0.68,4.08,32.41,54.2,5.75,2.9
2020,auckland central,7.52,19.14,46.22,21.19,1.72,4.220000000000001
2020,botany,6.81,3.29,47.59,37.14,1.44,3.73
2020,east coast bays,8.81,6.16,40.25,38.38,1.72,4.6899999999999995
2020,epsom,10.41,10.99,36.05,37.46,1.46,3.64
2020,kaipara ki mahurangi,11.27,6.31,40.31,33.97,2.58,5.57
2020,kelston,4.37,8.29,62.5,17.33,2.59,4.92
2020,mangere,1.55,3.99,77.37,9.11,2.76,5.25
2020,manurewa,1.73,3.03,73.91,13.03,2.87,5.42
2020,maungakiekie,7.14,9.14,50.75,25.97,2.1,4.91
2020,mt albert,6.0,20.06,48.9,18.75,1.83,4.46
2020,mt roskill,4.99,8.02,56.17,24.44,1.92,4.47
2020,new lynn,6.31,11.45,53.33,21.88,2.33,4.7
2020,north shore,9.86,8.34,41.35,34.05,1.9,4.51
2020,northcote,7.32,8.69,49.56,27.67,1.93,4.8100000000000005
2020,pakuranga,8.57,4.64,42.05,38.53,2.16,4.0600000000000005
2020,panmure-otahuhu,2.39,4.12,73.66,12.75,2.48,4.6
2020,papakura,8.81,4.04,42.74,37.11,2.78,4.52
2020,port waikato,10.71,3.35,40.38,36.4,2.94,6.2
2020,takanini,4.64,3.31,55.0,30.08,1.98,4.99
2020,tamaki,11.73,7.68,38.61,37.06,1.62,3.3
2020,te atatu,5.13,6.51,58.05,22.72,2.54,5.07
2020,upper harbour,7.59,5.33,48.31,31.39,1.97,5.39
2020,whangaparaoa,10.61,4.89,40.04,36.7,2.15,5.609999999999999
2023,auckland central,9.33,24.03,22.69,33.22,3.82,6.9
2023,botany,7.4,5.87,20.46,59.04,3.02,4.21
2023,east coast bays,9.69,8.89,14.68,57.8,3.93,5.01
2023,epsom,12.44,13.59,14.67,51.69,2.61,4.98
2023,kaipara ki mahurangi,12.11,9.6,17.02,47.78,6.67,6.82
2023,kelston,5.95,14.09,37.28,31.24,4.73,6.71
2023,mangere,2.12,7.85,61.4,19.25,3.31,6.090000000000001
2023,manurewa,2.69,5.93,52.17,29.41,3.46,6.33
2023,maungakiekie,7.98,13.83,27.31,41.61,3.84,5.4399999999999995
2023,mt albert,6.76,25.28,26.08,32.05,3.07,6.75
2023,mt roskill,6.11,12.12,30.05,43.4,3.55,4.7700000000000005
2023,new lynn,7.77,16.74,26.9,37.31,4.93,6.36
2023,north shore,10.98,11.73,17.7,50.92,3.88,4.79
2023,northcote,8.7,14.27,23.19,43.67,4.22,5.96
2023,pakuranga,9.89,7.2,16.65,58.34,3.8,4.11
2023,panmure-otahuhu,3.62,8.55,52.7,26.55,3.29,5.28
2023,papakura,10.05,6.39,20.96,51.95,5.27,5.38
2023,port waikato,12.05,5.86,18.67,50.18,7.42,5.82
2023,takanini,5.54,5.73,28.13,52.98,3.19,4.43
2023,tamaki,12.41,10.99,16.82,52.58,2.87,4.32
2023,te atatu,6.5,11.31,33.56,37.82,4.53,6.29
2023,upper harbour,8.46,9.4,22.62,50.24,4.06,5.2299999999999995
2023,whangaparaoa,11.93,7.6,15.27,53.21,6.26,5.7299999999999995
